epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,1235.05,0.59449,0.7799,1.00836,0.80226,0.53379,0.65041,0.51681,0.75623,0.96383,1.18122,0.000665057,0.000665057,0.000665057
56,1256.24,0.60224,0.75615,1.0232,0.77244,0.62617,0.68445,0.55068,0.7081,0.89771,1.13323,0.000650909,0.000650909,0.000650909
57,1278.15,0.56987,0.7703,0.99762,0.77801,0.62738,0.68509,0.56432,0.69985,0.9366,1.13266,0.000636762,0.000636762,0.000636762
58,1299.18,0.55723,0.72491,0.99818,0.71813,0.60206,0.60916,0.50204,0.73757,1.03419,1.12666,0.000622615,0.000622615,0.000622615
59,1320.96,0.58307,0.75456,1.03262,0.69016,0.55642,0.61105,0.49418,0.73191,0.97697,1.11938,0.000608468,0.000608468,0.000608468
60,1342.7,0.566,0.74702,0.99425,0.7497,0.60274,0.6631,0.54658,0.68642,0.92604,1.0847,0.000594321,0.000594321,0.000594321
61,1363.83,0.54752,0.73104,0.97829,0.69078,0.59478,0.64856,0.54451,0.6996,0.92329,1.1239,0.000580174,0.000580174,0.000580174
62,1385.64,0.52286,0.67506,0.99115,0.87924,0.52387,0.6384,0.54018,0.68725,0.96275,1.11281,0.000566027,0.000566027,0.000566027
63,1407.12,0.54107,0.68934,0.98851,0.86011,0.55029,0.64603,0.54902,0.66649,0.94706,1.08834,0.00055188,0.00055188,0.00055188
64,1428.98,0.53239,0.6905,0.99274,0.96892,0.57218,0.6837,0.58312,0.64066,0.94538,1.09284,0.000537733,0.000537733,0.000537733
65,1450.9,0.49473,0.66321,0.9779,0.90593,0.56641,0.68737,0.59004,0.65378,0.95051,1.09736,0.000523586,0.000523586,0.000523586
66,1472.8,0.56159,0.73721,1.00975,0.73378,0.64812,0.70928,0.61047,0.64445,0.85204,1.09182,0.000509438,0.000509438,0.000509438
67,1494.56,0.50361,0.64373,0.98722,0.75448,0.63841,0.7073,0.59991,0.62997,0.83996,1.06209,0.000495291,0.000495291,0.000495291
68,1516.39,0.50523,0.6593,0.97421,0.8578,0.59051,0.69539,0.57528,0.63596,0.8619,1.07559,0.000481144,0.000481144,0.000481144
69,1537.72,0.50966,0.65199,0.98133,0.88487,0.5432,0.67679,0.56233,0.66128,0.95551,1.06543,0.000466997,0.000466997,0.000466997
70,1559.04,0.50727,0.66681,0.97692,0.71126,0.63253,0.68032,0.57345,0.62074,0.91583,1.03411,0.00045285,0.00045285,0.00045285
71,1581.05,0.51649,0.65936,0.98821,0.67728,0.64451,0.67408,0.59338,0.62804,0.85616,1.04054,0.000438703,0.000438703,0.000438703
72,1602.71,0.52224,0.65664,0.9863,0.76741,0.64347,0.6861,0.58918,0.64553,0.90863,1.05562,0.000424556,0.000424556,0.000424556
73,1624.24,0.49121,0.63559,0.95374,0.76515,0.60857,0.68362,0.60669,0.60049,0.84247,1.03838,0.000410409,0.000410409,0.000410409
74,1646.18,0.50897,0.65593,0.99903,0.85975,0.55835,0.68896,0.59304,0.61786,0.8147,1.06121,0.000396262,0.000396262,0.000396262
75,1667.18,0.47429,0.61113,0.95779,0.6776,0.66344,0.68293,0.58289,0.61294,0.80657,1.06813,0.000382115,0.000382115,0.000382115
76,1688.78,0.51033,0.64818,0.98304,0.67388,0.72321,0.69835,0.60547,0.60782,0.76841,1.05931,0.000367967,0.000367967,0.000367967
77,1710.5,0.48738,0.58844,0.9834,0.6507,0.72211,0.68821,0.59571,0.61181,0.78534,1.06098,0.00035382,0.00035382,0.00035382
78,1732.64,0.48413,0.58892,0.98562,0.81048,0.57253,0.68901,0.59074,0.6243,0.83039,1.06774,0.000339673,0.000339673,0.000339673
79,1754.14,0.4677,0.60958,0.93954,0.84068,0.57865,0.69151,0.58971,0.61485,0.80259,1.05321,0.000325526,0.000325526,0.000325526
80,1775.76,0.44892,0.55216,0.94114,0.66136,0.69278,0.69318,0.59481,0.5832,0.78492,1.01803,0.000311379,0.000311379,0.000311379
81,1796.75,0.4729,0.57978,0.97306,0.69162,0.70793,0.70065,0.59415,0.57983,0.78497,1.00695,0.000297232,0.000297232,0.000297232
82,1818.6,0.5047,0.62023,0.99318,0.71067,0.66248,0.68035,0.58904,0.59752,0.82769,1.04676,0.000283085,0.000283085,0.000283085
83,1840.85,0.48538,0.57507,0.97282,0.87927,0.54189,0.67533,0.58033,0.60159,0.88583,1.07221,0.000268938,0.000268938,0.000268938
84,1862.4,0.44761,0.54422,0.94541,0.85953,0.56391,0.66888,0.57254,0.64353,0.90253,1.11402,0.000254791,0.000254791,0.000254791
85,1883.82,0.44795,0.57316,0.94036,0.8188,0.54771,0.67469,0.58053,0.60759,0.92048,1.07823,0.000240644,0.000240644,0.000240644
